George Washington	22/2/1732	30/4/1789	4/3/1797	14/12/1799
John Adams	30/10/1735	4/3/1797	4/3/1801	4/7/1826
Thomas Jefferson	13/4/1743	4/3/1801	4/3/1809	4/7/1826
James Madison	16/3/1751	4/3/1809	4/3/1817	28/6/1836
James Monroe	28/4/1758	4/3/1817	4/3/1825	4/7/1831
John Q. Adams	11/7/1767	4/3/1825	4/3/1829	23/2/1848
Andrew Jackson	15/3/1767	4/3/1829	4/3/1837	8/6/1845
Martin Van Buren	5/12/1782	4/3/1837	4/3/1841	24/7/1862
William H. Harrison	9/2/1773	4/3/1841	4/4/1841	4/4/1841
John Tyler	29/3/1790	4/4/1841	4/3/1845	18/1/1862
James K. Polk	2/11/1795	4/3/1845	4/3/1849	15/6/1849
Zachary Taylor	24/11/1784	4/3/1849	9/7/1850	9/7/1850
Millard Fillmore	7/1/1800	9/7/1850	4/3/1853	8/3/1874
Franklin Pierce	23/11/1804	4/3/1853	4/3/1857	8/10/1869
James Buchanan	23/4/1791	4/3/1857	4/3/1861	1/6/1868
Abraham Lincoln	12/2/1809	4/3/1861	15/4/1865	15/4/1865
Andrew Johnson	29/12/1808	15/4/1865	4/3/1869	31/7/1875
Ulysses S. Grant	27/4/1822	4/3/1869	4/3/1877	23/7/1885
Rutherford B. Hayes	4/10/1822	4/3/1877	4/3/1881	17/1/1893
James A. Garfield	19/11/1831	4/3/1881	19/9/1881	19/9/1881
Chester A. Arthur	5/10/1829	19/9/1881	4/3/1885	18/11/1886
Grover Cleveland	18/3/1837	4/3/1885	4/3/1897	24/6/1908
Benjamin Harrison	20/8/1833	4/3/1889	4/3/1893	13/3/1901
William McKinley	29/1/1843	4/3/1897	14/9/1901	14/9/1901
Theodore Roosevelt	27/10/1858	14/9/1901	4/3/1909	6/1/1919
William H. Taft	15/9/1857	4/3/1909	4/3/1913	8/3/1930
Woodrow Wilson	28/12/1856	4/3/1913	4/3/1921	3/2/1924
Warren G. Harding	2/11/1865	4/3/1921	2/8/1923	2/8/1923
Calvin Coolidge	4/7/1872	2/8/1923	4/3/1929	5/1/1933
Herbert Hoover	10/8/1874	4/3/1929	4/3/1933	20/10/1964
Franklin D. Roosevelt	30/1/1882	4/3/1933	12/4/1945	12/4/1945
Harry S. Truman	8/5/1884	12/4/1945	20/1/1953	26/12/1972
Dwight D. Eisenhower	14/10/1890	20/1/1953	20/1/1961	28/3/1969
John F. Kennedy	29/5/1917	20/1/1961	22/11/1963	22/11/1963
Lyndon B. Johnson	27/8/1908	22/11/1963	20/1/1969	22/1/1973
Richard Nixon	9/1/1913	20/1/1969	9/8/1974	22/4/1994
Gerald Ford	14/7/1913	9/8/1974	20/1/1977	26/12/2006
Jimmy Carter	1/10/1924	20/1/1977	20/1/1981	
Ronald Reagan	6/2/1911	20/1/1981	20/1/1989	5/6/2004
George H. W. Bush	12/6/1924	20/1/1989	20/1/1993	
Bill Clinton	19/8/1946	20/1/1993	20/1/2001	
George W. Bush	6/7/1946	20/1/2001	20/1/2009	
Barack Obama	4/8/1961	20/1/2009	20/1/2017	
Donald Trump	14/6/1946	20/1/2017		
